disease,fatal,non-fatal,fatal-and-non-fatal
all-cause-cancer,44.2776699029126,NA,65.29122137404578
all-cause-cvd,52.29141791044776,NA,46.270674846625774
all-cause-dementia,NA,26.75733333333333,31.7089552238806
all-cause-mortality,22.346697674418607,NA,22.346697674418607
alzheimer's-disease,NA,27.790625,21.20357142857143
bladder-cancer,NA,NA,20.125
breast-cancer,30.7678947368421,NA,57.538110236220476
colon-cancer,NA,NA,33.422222222222224
coronary-heart-disease,37.07322033898305,NA,46.480344827586194
depression,NA,36.214193548387094,36.214193548387094
depressive-symptoms,NA,38.98923076923077,38.98923076923077
endometrial-cancer,NA,NA,41.21142857142856
esophageal-cancer,NA,NA,43.07551724137927
gastric-cardia-cancer,NA,NA,58.79650000000001
head-and-neck-cancer,NA,NA,26.55529411764705
heart-failure,NA,NA,58.13499999999999
kidney-cancer,NA,NA,34.22714285714288
liver-cancer,NA,NA,33.920769230769224
lung-cancer,80.19636363636361,NA,60.582698412698406
major-depression,NA,21.890434782608693,21.890434782608693
myeloid-leukemia,NA,NA,20.249999999999996
myeloma,NA,NA,34.2575
parkinson's-disease,NA,29.40153846153846,35.064
prostate-cancer,34.12333333333333,NA,48.06646153846154
rectum-cancer,NA,NA,33.42967213114754
stroke,38.80177777777778,NA,36.03758928571429
vascular-dementia,NA,NA,27.84333333333333
