id,ref_number,first_author,effect_measure,outcome_type,type,totalpersons,personyrs,dose,RR,logrr,cases,uci_effect,lci_effect,se
9,9935,Boongird P.,hr,Non-fatal,ci,33273,192916,1.88,0.86,-0.15082288973458366,94,1.13,0.66,0.13717932597932536
9,9935,Boongird P.,hr,Non-fatal,ci,108374,628077,5,0.63,-0.4620354595965587,205,0.79,0.5,0.11669215624546787
9,9935,Boongird P.,hr,Non-fatal,ci,17353,100925,7.5,0.41,-0.8915981192837836,21,0.66,0.25,0.24765223361643512
10,9936,Hansson O.,hr,Non-fatal,ci,6823,102345,10.52,1,0,395,NA,NA,NA
10,9936,Hansson O.,hr,Non-fatal,ci,6823,102345,21.95,1.01,0.009950330853168092,403,1.17,0.88,0.0726638659093505
10,9936,Hansson O.,hr,Non-fatal,ci,6823,102345,39.65,0.96,-0.040821994520255166,375,1.1,0.83,0.07184819726723475
11,9939,Larsson S.,hr,Non-fatal,ci,1050,48792,1.25,1,0,475,NA,NA,NA
11,9939,Larsson S.,hr,Non-fatal,ci,1229,57124,2.5,1.04,0.03922071315328133,562,1.17,0.91,0.06411200161412205
11,9939,Larsson S.,hr,Non-fatal,ci,2396,111350,6.25,1.04,0.03922071315328133,1137,1.16,0.93,0.056376213975423806
11,9939,Larsson S.,hr,Non-fatal,ci,2519,117073,11.25,1.06,0.058268908123975824,1222,1.19,0.95,0.05746192360872575
12,9942,Liu Y.,hr,Non-fatal,ci,28724,176511,0.94,1,0,6434,NA,NA,NA
12,9942,Liu Y.,hr,Non-fatal,ci,9033,57672,7.5,0.81,-0.21072103131565253,1531,0.97,0.77,0.05890556114067722
12,9942,Liu Y.,hr,Non-fatal,ci,10184,62437,13.12,0.94,-0.06187540371808753,2316,0.99,0.89,0.02716465232075135
