id,ref_number,first_author,effect_measure,outcome_type,type,totalpersons,personyrs,dose,RR,logrr,cases,uci_effect,lci_effect,se
13,250,Wanner,hr,Fatal,ci,10449,224086,2.5,0.92,-0.08338160893905101,781,1.04,0.82,0.06063163755860908
13,250,Wanner,hr,Fatal,ci,1822,39074,15,0.69,-0.37106368139083207,101,0.9,0.54,0.1303150536936694
14,253,Borch et al.,hr,Fatal,ci,949,10130,0,1,0,43,NA,NA,NA
14,253,Borch et al.,hr,Fatal,ci,2421,25843,6.4,1.12,0.11332868530700327,105,1.61,0.78,0.18487470790564967
14,253,Borch et al.,hr,Fatal,ci,5810,62020,9.7,0.95,-0.05129329438755058,192,1.33,0.68,0.17113616075018695
14,253,Borch et al.,hr,Fatal,ci,9713,103683,12.3,0.81,-0.21072103131565253,252,1.12,0.58,0.16787447778105521
14,253,Borch et al.,hr,Fatal,ci,16862,179996,17.4,0.76,-0.2744368457017603,399,1.04,0.55,0.16251770923698902
14,253,Borch et al.,hr,Fatal,ci,12021,128320,26,0.67,-0.40047756659712525,234,0.92,0.48,0.16596926557653643
14,253,Borch et al.,hr,Fatal,ci,9828,104911,33.3,0.68,-0.3856624808119846,188,0.95,0.49,0.16889509162212477
14,253,Borch et al.,hr,Fatal,ci,5489,58593,26,0.7,-0.35667494393873245,111,0.99,0.49,0.17941644784585345
14,253,Borch et al.,hr,Fatal,ci,1896,20239,41.4,0.64,-0.4462871026284195,37,0.99,0.41,0.22488877101411528
14,253,Borch et al.,hr,Fatal,ci,1147,12244,63.2,0.57,-0.5621189181535413,23,0.95,0.34,0.2621263388228808
15,257,Wu et al.,hr,Fatal,ci,8487,27824,0,1,0,215,NA,NA,NA
15,257,Wu et al.,hr,Fatal,ci,28780,94353,1.88,0.82,-0.19845093872383832,568,0.96,0.7,0.08057621260132461
15,257,Wu et al.,hr,Fatal,ci,40274,132035,5,0.72,-0.3285040669720361,655,0.84,0.61,0.08161959535830032
16,258,Wen et al.,hr,Fatal,ci,201307,1620521,0.88,1,0,1123,NA,NA,NA
