"","sex","0","0.025","0.05","0.25","0.5","0.75","0.95","0.975","1"
"1","female",0,0,0,2.1525,10.52,23.87,58,88.6462500000002,333.2
"2","male",0,0,0,1.75,10.325,22.345,57.3204999999999,73.61325,201.84
